rotation_freq_Hz,sampling_rate,duration_s,load,temperature_C,sound,rpm,label
41.37859809,5001.091186,0.491897653,0.502550293,40.74070195,68.72206906,1515.461332,healthy
45.37688619,5000.089423,0.49788412,0.225886668,105.6306376,135.0749088,1576.638864,healthy
52.09096383,4997.812783,0.50572453,0.634042003,43.33430674,46.36840571,1863.621974,healthy
37.733405,5003.321662,0.493997526,0.135337494,47.60091786,47.82730488,1462.079896,healthy
49.87717973,5002.416269,0.507027747,0.438415611,40.49457427,45.37948147,1990.652707,non_healthy
25.0271594,5000.845772,0.497376598,0.48956422,47.36019831,52.03788603,1031.347086,non_healthy
41.02281346,4998.78574,0.497878058,0.602471262,42.82933744,75.92751916,1452.034195,healthy
30.01633353,5001.706273,0.498526224,0.853415894,40.52426784,49.29592882,1280.675976,healthy
39.87111486,5001.093849,0.492417705,0.61576462,42.24025355,59.12630823,1217.379543,non_healthy
33.49929732,4998.411395,0.489321854,0.340578105,34.96435298,67.52503002,1300.322453,healthy
46.58752069,4998.223142,0.499921886,0.56519342,41.3952618,37.4955758,1665.128894,healthy
36.51436874,4996.322763,0.499943629,0.613776379,48.21835196,73.97975175,1267.582664,non_healthy
40.53168146,5000.026972,0.493245296,0,40.53346541,56.76129543,1586.304215,healthy
43.92150306,4997.432876,0.495576531,0.697749587,40.5382846,60.61503863,1603.585578,healthy
43.99141753,5001.712069,0.500711848,0.770510721,41.2090994,68.48886844,1563.272743,healthy
29.50945494,5000.059558,0.512631486,0.741442964,40.8458487,64.40837306,1208.089332,non_healthy
47.04350469,4998.659202,0.497439124,0.688468829,41.20836038,41.59978543,1697.998363,healthy
91.1712564,5001.137361,0.499461307,0.194344618,100.0177016,129.5392027,1852.122284,healthy
40.31792715,5002.172192,0.502326506,0.409007212,53.56013405,83.67602996,1418.47712,non_healthy
28.50561013,5000.518975,0.505662175,0.635963178,44.69491029,47.79635066,1104.501975,healthy
40.10483648,4999.636121,0.497623554,0.398523175,52.99140443,63.27107783,1553.541988,healthy
44.69390322,4998.621011,0.49844006,0.596500916,48.95033348,51.48541314,1756.55731,healthy
27.61766147,4999.78838,0.501829898,0.419692352,43.19935216,71.06643508,1118.275525,non_healthy
38.75019307,5002.020784,0.498536097,0.960465337,33.40764719,75.88570347,1304.132396,non_healthy
39.88937521,5001.708309,0.502282726,0.495678099,44.72307503,74.90209383,1489.945757,non_healthy
44.62913935,5001.143836,0.501651413,0.7694128,53.20918165,52.51394427,1588.289459,healthy
40.1985884,5002.599377,0.501342699,0.237818221,36.46754607,81.20714739,1648.881546,healthy
31.84108778,5003.325515,0.507562129,0.374920584,48.69863966,66.19209586,1342.654367,healthy
27.0560431,4999.337193,0.502568258,0.725121037,48.95031233,77.51583292,1298.716788,non_healthy
35.14764562,4999.35762,0.504240624,0.86399549,40.08318879,69.22510818,1337.096654,healthy
28.85961565,4996.587596,0.504585278,0.133435396,35.22063383,53.43713866,1238.053163,non_healthy
57.67566118,4999.268152,0.50383862,0.58187533,28.76153552,56.76467238,2085.327121,healthy
44.08867694,4995.061763,0.504119461,0.209137723,32.58067628,53.92221072,1663.189609,healthy
24.47948964,4999.55195,0.503543775,0.60431662,40.67786573,67.30055385,982.0871219,non_healthy
29.17328312,5000.98908,0.504466772,0.24037797,38.59377978,77.33978767,1007.695745,healthy
29.77878503,5000.686364,0.501744118,0.5767903,32.65577877,43.50939895,1106.079675,healthy
35.58212126,4999.308584,0.505650158,0.455406771,35.26340819,66.7105668,1176.481856,non_healthy
27.93644127,5000.711474,0.504057848,0.376964863,44.21093586,63.67213694,1058.287238,non_healthy
26.66778647,4996.447004,0.50540418,0.311437837,38.2305017,49.68020512,1062.956622,healthy
22.28238207,4998.058069,0.499067712,0.839893779,43.51828372,60.77865551,1034.874088,non_healthy
54.32296901,5000.04586,0.494552381,0.918255036,53.1991632,89.42365839,1940.720592,non_healthy
38.90824082,4999.068142,0.497785072,0.769710091,39.64478087,60.13676278,1583.412132,healthy
47.98370811,4999.199615,0.499307256,0.507639499,55.10509944,59.61022066,1718.519185,non_healthy
41.77665665,4999.77317,0.500269632,0.292737606,37.2960388,70.80786532,1724.472761,non_healthy
42.36206277,5002.629046,0.491097867,0.327680734,40.1536162,47.1031588,1504.161545,healthy
35.85128299,4998.954287,0.500673833,0.446561579,29.23827856,67.33568299,1683.585356,non_healthy
14.68851211,4997.309643,0.50422565,0.477952908,36.78871222,65.95504746,525.0968655,healthy
58.96746619,5000.418782,0.499083309,0.968164012,35.31182606,62.95291559,2191.189288,healthy
50.37703134,4998.120685,0.491468518,0.633708303,34.60622081,78.52697893,1890.660787,healthy
25.92757653,5003.125258,0.490891091,0.700288658,53.03847903,65.71058903,1102.975797,non_healthy
46.13513058,5000.667456,0.505194969,0.706318161,40.00032331,40.3638154,1939.734164,healthy
43.16062653,4998.817223,0.50124331,0.606733113,48.42620455,52.09911608,1492.601615,healthy
45.24947327,4997.539076,0.502379142,0.567299972,43.11145431,60.24523288,1661.003564,healthy
38.75069684,5001.721771,0.500286958,0.408445893,40.25352218,49.91579817,1370.956672,healthy
33.60482442,5000.274579,0.503781536,0.390998344,32.33733945,54.64832105,1386.127783,healthy
37.58313969,5003.678786,0.496579111,0.538511287,51.8393546,71.0518988,1627.702006,non_healthy
12.66019653,4999.529443,0.495358305,0.662276342,48.17634889,66.45274482,993.8781782,non_healthy
69.42559075,4999.456103,0.497713592,0.37464187,45.00397351,54.81275075,2542.389993,healthy
30.31533977,5000.057782,0.504319371,0.743752972,36.91980638,80.72862314,1182.352401,non_healthy
23.52238849,5001.704203,0.498029869,0.802874814,39.24340982,61.44904724,844.5591105,healthy
60.42632165,5002.518739,0.507642496,0.808797081,35.59245293,57.34968813,2194.911054,healthy
50.54030977,4999.017687,0.497773213,0.617818366,51.2771589,73.33289237,1887.049725,non_healthy
17.73579265,4999.079878,0.490628147,0.34902586,78.32152845,92.01900354,1767.650663,healthy
54.41454856,4997.302495,0.494920325,0.606269524,43.46977746,56.52404433,1918.251117,non_healthy
65.78170524,5001.539867,0.498781689,0.810778328,34.74544095,75.09288736,2323.884151,healthy
42.31228487,4999.861533,0.503685011,0.457486622,42.86231453,89.40478285,1541.579273,healthy
43.30000157,5000.073187,0.50098831,0.545350803,61.20041724,54.2217618,1766.903605,non_healthy
55.26837434,4999.470901,0.506728063,0.347149749,33.80630598,52.23861063,1956.345506,healthy
25.12108145,5001.442644,0.50502018,0.705708136,38.93047254,67.40838329,957.5094926,healthy
33.13081939,5002.929221,0.502609249,0.722553433,32.68089608,69.84108681,1268.213708,non_healthy
22.98032198,5000.525715,0.487488025,0.630072052,47.32870283,58.16405502,1135.340979,non_healthy
34.49452551,4997.880885,0.500830949,0.377829439,42.56971165,55.78078282,1274.747694,non_healthy
41.53686453,4997.54755,0.490869136,0.475357075,42.75492003,52.94047778,1500.926418,healthy
52.5162787,5000.128341,0.502545624,0.367274712,35.7379994,47.56084325,1860.289241,healthy
52.68168083,5001.566309,0.499051989,0.857416465,39.9348313,60.75968859,2082.949452,non_healthy
34.91710549,4998.637254,0.505134873,0.523251823,40.82357864,57.67446223,1401.356422,healthy
39.56147654,4998.606384,0.501236322,0.653180464,36.80825903,70.01084255,1399.274354,non_healthy
33.40586178,5000.46681,0.490565348,0.726091585,42.94730007,62.32559836,1281.108497,non_healthy
42.20023695,5002.15204,0.501338466,0.744303914,49.63346683,65.84154631,1587.819417,healthy
37.55786422,4998.476137,0.499121238,0.646954111,40.35103393,53.30445822,1578.666914,non_healthy
33.90537671,5002.074856,0.507314157,0.729126051,40.83225171,79.11381273,1434.745552,non_healthy
55.89612511,5000.969285,0.496514971,0.753497892,30.87987166,41.1810084,2132.113487,healthy
46.32610236,5003.86693,0.492204882,0.174178514,32.93180367,53.38539653,1759.673678,healthy
30.39349374,4999.799351,0.501375091,0.617417777,50.20833705,58.74507792,1065.905327,non_healthy
54.69395451,5000.074037,0.501013646,0.57078043,49.73764147,40.88526448,1964.585308,healthy
31.3457724,5001.620796,0.50280019,0.457305595,32.2638173,62.82953078,1176.944907,healthy
43.4102763,5001.614539,0.492877505,1.08724434,44.16133068,51.22679084,1586.872262,healthy
47.25702249,5000.224808,0.495252998,0.568051735,55.5221996,73.58391859,1733.361422,non_healthy
33.29159046,5001.320779,0.497812291,0.285262139,47.73307775,72.82097351,1346.710048,non_healthy
30.92361386,4997.783686,0.498121149,0.59926193,41.03290015,74.04726753,1256.681932,non_healthy
55.54064672,5002.907685,0.505099766,0.848882952,38.52267225,74.09745419,2006.894861,healthy
31.02569285,5000.591981,0.506804849,0.553471539,46.37149366,78.64982269,1205.710387,healthy
43.38837662,5003.314549,0.494850809,0.322765748,48.63626064,79.71298583,1455.521524,healthy
74.20534075,5001.122108,0.500212659,0.183148298,61.76919671,156.3137166,1091.352067,healthy
48.32905436,5001.334566,0.493376812,1.048171925,47.52974644,87.94950105,1674.153598,healthy
58.43563142,5002.344776,0.499761306,0.832643442,32.54568071,58.68395252,2129.913969,healthy
32.1940876,5000.43233,0.489739,0.496666388,45.57987208,54.83273066,1175.614965,healthy
15.21052074,4998.09671,0.493867047,0.655946853,45.50442921,61.71881376,541.4589154,non_healthy
38.41475589,5000.846822,0.510762455,0.563332711,47.56920282,65.23852079,1304.310347,healthy
30.0275272,4998.984659,0.493521745,0.640353857,32.95247713,59.69822043,1133.02937,healthy
51.36917836,4999.316594,0.501299794,0.307558618,45.73085609,55.48230263,1877.558575,healthy
33.14000502,5004.067998,0.504264925,0.213203732,42.68048764,63.04591205,1277.03714,healthy
48.58765093,5002.350655,0.508666364,0.694224038,42.40068398,69.40515409,1800.574436,healthy
37.93835819,4998.411455,0.496894214,0.720491871,37.86094285,81.70943853,1527.764025,healthy
28.86719468,4997.837952,0.501202565,0.295302252,46.1623562,72.94255915,1198.609974,healthy
37.7158894,5003.303861,0.497268734,0.689882992,40.94656153,75.22329127,1536.971199,non_healthy
42.40405883,5003.277195,0.504124607,0.091587081,33.44651901,79.96823086,1674.748883,healthy
36.03508211,4998.801091,0.496603327,0.24051339,36.95358167,71.48432883,1267.362403,healthy
44.45900832,5002.362867,0.503425232,0.384480569,49.74716136,60.29804427,1680.168177,healthy
16.13736883,4998.957622,0.496879395,0.420021782,47.07167629,51.92567459,676.3274869,non_healthy
38.91888294,4998.102146,0.498692105,0.472234395,38.9942488,56.74477917,1313.339713,healthy
49.79165898,4999.61588,0.506124745,0.195820001,42.41327936,56.24839003,2139.609313,non_healthy
44.77256198,5000.968954,0.502017974,0.353414477,40.11216039,72.76379193,1587.308406,healthy
25.26223285,4997.734314,0.505675025,0.150476678,37.83263211,67.03955094,1013.727301,healthy
34.40926179,5001.019738,0.503498769,0.891145453,41.27712537,70.48826557,1207.121232,non_healthy
